state,year,spending_nominal,cpi_deflator,spending_2017,spending_2017m
Colorado,2011,519817,1.089717656786951,566453.7631980226,0.5664537631980227
Colorado,2012,503388,1.0676237183898534,537428.9683528316,0.5374289683528316
Colorado,2013,0,1.0522113523096537,0.0,0.0
Colorado,2014,0,1.0354149770208165,0.0,0.0
Colorado,2015,19613,1.0341874211554445,20283.517891121734,0.020283517891121733
Colorado,2016,246036,1.0213035453132617,251277.43907469366,0.25127743907469363
Colorado,2017,7959,1.0,7959.0,0.007959
Colorado,2018,10000,0.9761575742611716,9761.575742611716,0.009761575742611717
Colorado,2019,0,0.9587846215828238,0.0,0.0
Connecticut,2011,0,1.089717656786951,0.0,0.0
Connecticut,2016,21750,1.0213035453132617,22213.352110563443,0.022213352110563443
Delaware,2011,140000,1.089717656786951,152560.47195017315,0.15256047195017314
Delaware,2012,50000,1.0676237183898534,53381.185919492666,0.05338118591949267
Florida,2011,75000,1.089717656786951,81728.82425902133,0.08172882425902134
Florida,2012,309372,1.0676237183898534,330292.8850057057,0.3302928850057057
Florida,2013,65000,1.0522113523096537,68393.73790012748,0.06839373790012748
Florida,2014,65000,1.0354149770208165,67301.97350635307,0.06730197350635307
Florida,2015,105000,1.0341874211554445,108589.67922132167,0.10858967922132166
Georgia,2011,201001,1.089717656786951,219034.33873183397,0.21903433873183398
Georgia,2012,0,1.0676237183898534,0.0,0.0
Georgia,2013,0,1.0522113523096537,0.0,0.0
Georgia,2014,0,1.0354149770208165,0.0,0.0
Hawaii,2011,0,1.089717656786951,0.0,0.0
Hawaii,2012,0,1.0676237183898534,0.0,0.0
Idaho,2011,575353,1.089717656786951,626972.3229853427,0.6269723229853427
Idaho,2012,598286,1.0676237183898534,638744.3239805918,0.6387443239805919
Idaho,2013,489680,1.0522113523096537,515246.85499899124,0.5152468549989913
Idaho,2014,557550,1.0354149770208165,577295.6204379563,0.5772956204379563
Idaho,2015,683057,1.0341874211554445,706408.9573321744,0.7064089573321745
Idaho,2016,598670,1.0213035453132617,611423.7934726904,0.6114237934726904
Idaho,2017,548670,1.0,548670.0,0.54867
Idaho,2018,544900,0.9761575742611716,531908.2622149123,0.5319082622149124
Idaho,2019,562167,0.9587846215828238,538997.0743613513,0.5389970743613514
Illinois,2011,0,1.089717656786951,0.0,0.0
Illinois,2012,15000,1.0676237183898534,16014.3557758478,0.0160143557758478
Illinois,2016,19816,1.0213035453132617,20238.151053927595,0.020238151053927594
Illinois,2017,0,1.0,0.0,0.0
Indiana,2011,755087,1.089717656786951,822831.6363102886,0.8228316363102886
Indiana,2012,1329955,1.0676237183898534,1419891.5023911775,1.4198915023911776
Indiana,2013,608132,1.0522113523096537,639883.3941027743,0.6398833941027743
Indiana,2014,632610,1.0354149770208165,655013.8686131388,0.6550138686131388
Indiana,2015,693919,1.0341874211554445,717642.3011007649,0.7176423011007649
Indiana,2016,590626,1.0213035453132617,603208.4277541905,0.6032084277541905
Indiana,2017,880386,1.0,880386.0,0.880386
Indiana,2018,614057,0.9761575742611716,599416.3915780922,0.5994163915780922
Indiana,2019,647600,0.9587846215828238,620908.9209370367,0.6209089209370368
Iowa,2011,48842,1.089717656786951,53223.98979278826,0.053223989792788265
Iowa,2012,0,1.0676237183898534,0.0,0.0
Kansas,2012,50000,1.0676237183898534,53381.185919492666,0.05338118591949267
Kansas,2013,0,1.0522113523096537,0.0,0.0
Kansas,2014,0,1.0354149770208165,0.0,0.0
Kentucky,2011,0,1.089717656786951,0.0,0.0
Kentucky,2017,1500000,1.0,1500000.0,1.5
Kentucky,2018,1000000,0.9761575742611716,976157.5742611715,0.9761575742611716
Kentucky,2019,1000000,0.9587846215828238,958784.6215828238,0.9587846215828238
Louisiana,2011,474156,1.089717656786951,516696.1652714736,0.5166961652714736
Louisiana,2012,662028,1.0676237183898534,706796.7950381979,0.7067967950381979
